Country,YearsCode,EdLevel,Employment,DevType,OrgSize,RemoteWork,WorkExp,Industry,Age,ICorPM,ToolCountWork,log_salary,LanguageCount,DatabaseCount,PlatformCount,yearsCode_sq,WorkExp_sq,Exp_ratio,Tech_breadth
Ukraine,14.0,5.0,1,Mobile,2.0,2.0,8.0,Fintech,1.0,1.0,7.0,11.022833407591145,3.0,2.0,5.0,196.0,64.0,0.5333333333333333,10.0
Netherlands,10.0,3.0,1,Back-end,4.0,1.0,2.0,Retail and Consumer Services,1.0,0.0,6.0,11.556119045056985,1.0,2.0,7.0,100.0,4.0,0.18181818181818182,10.0
Ukraine,12.0,4.0,1,Front-end,,,10.0,Software Development,2.0,,3.0,10.879216320158896,4.0,3.0,4.0,144.0,100.0,0.7692307692307693,11.0
Ukraine,5.0,4.0,1,Back-end,7.0,2.0,4.0,Retail and Consumer Services,2.0,0.0,,10.496759147668817,3.0,,2.0,25.0,16.0,0.6666666666666666,0.0
Ukraine,22.0,5.0,1,Management,,,21.0,Software Development,2.0,,4.0,11.002116507732017,14.0,7.0,9.0,484.0,441.0,0.9130434782608695,30.0
Ukraine,20.0,5.0,1,Back-end,,,15.0,Fintech,3.0,,5.0,11.695255355062795,2.0,,3.0,400.0,225.0,0.7142857142857143,0.0
Ukraine,30.0,6.0,1,Software,1.0,2.0,22.0,Software Development,2.0,1.0,10.0,11.184435286790631,6.0,3.0,7.0,900.0,484.0,0.7096774193548387,16.0
Ukraine,15.0,4.0,1,Other,6.0,2.0,9.0,Banking/Financial Services,1.0,0.0,,11.156264806643742,3.0,10.0,5.0,225.0,81.0,0.5625,18.0
Ukraine,9.0,5.0,1,Back-end,3.0,2.0,7.0,Fintech,1.0,0.0,9.0,11.092732431457451,5.0,4.0,3.0,81.0,49.0,0.7,12.0
Ukraine,5.0,4.0,1,Back-end,3.0,2.0,3.0,Fintech,0.0,0.0,,9.575052927597383,1.0,2.0,,25.0,9.0,0.5,0.0
United States of America,11.0,2.0,1,Full-stack,3.0,2.0,7.0,Fintech,1.0,0.0,5.0,11.37940550085183,5.0,1.0,3.0,121.0,49.0,0.5833333333333334,9.0
United Kingdom of Great Britain and Northern Ireland,41.0,4.0,1,Full-stack,,,37.0,Software Development,4.0,,,11.598313858968517,5.0,4.0,3.0,1681.0,1369.0,0.8809523809523809,12.0
other,30.0,5.0,1,Full-stack,,,26.0,Software Development,3.0,,4.0,11.997953165515051,4.0,4.0,5.0,900.0,676.0,0.8387096774193549,13.0
Sweden,36.0,4.0,1,Full-stack,5.0,1.0,24.0,Banking/Financial Services,3.0,0.0,10.0,12.253166133062257,4.0,3.0,,1296.0,576.0,0.6486486486486487,0.0
other,13.0,6.0,1,Full-stack,1.0,2.0,13.0,Media & Advertising Services,2.0,0.0,,11.264476926102367,4.0,4.0,6.0,169.0,169.0,0.9285714285714286,14.0
United States of America,15.0,5.0,1,Mobile,4.0,2.0,19.0,Software Development,2.0,0.0,6.0,12.230770136157428,11.0,4.0,10.0,225.0,361.0,1.1875,25.0
United States of America,23.0,4.0,1,Full-stack,3.0,2.0,17.0,Fintech,2.0,0.0,5.0,12.429220196836383,5.0,4.0,12.0,529.0,289.0,0.7083333333333334,21.0
United States of America,26.0,4.0,1,Other,6.0,1.0,24.0,Software Development,3.0,0.0,3.0,12.07254696717504,3.0,1.0,3.0,676.0,576.0,0.8888888888888888,7.0
Germany,10.0,4.0,1,Back-end,5.0,,10.0,Higher Education,1.0,0.0,4.0,11.463031191496386,5.0,5.0,10.0,100.0,100.0,0.9090909090909091,20.0
United States of America,25.0,5.0,1,Full-stack,7.0,,15.0,Government,2.0,0.0,20.0,11.599112335481124,15.0,4.0,,625.0,225.0,0.5769230769230769,0.0
United Kingdom of Great Britain and Northern Ireland,25.0,5.0,1,Full-stack,1.0,2.0,25.0,Software Development,3.0,0.0,3.0,11.420985599271363,4.0,1.0,3.0,625.0,625.0,0.9615384615384616,8.0
United States of America,8.0,4.0,1,Full-stack,3.0,1.0,7.0,Media & Advertising Services,3.0,0.0,20.0,11.918397239722838,4.0,2.0,5.0,64.0,49.0,0.7777777777777778,11.0
United States of America,38.0,6.0,1,Full-stack,4.0,1.0,33.0,Fintech,3.0,0.0,6.0,11.512925464970229,7.0,6.0,5.0,1444.0,1089.0,0.8461538461538461,18.0
United States of America,25.0,4.0,1,Front-end,1.0,2.0,25.0,Software Development,3.0,0.0,3.0,12.506180941677357,4.0,1.0,8.0,625.0,625.0,0.9615384615384616,13.0
United States of America,35.0,5.0,1,Mobile,7.0,2.0,25.0,Software Development,2.0,0.0,10.0,12.429220196836383,13.0,4.0,13.0,1225.0,625.0,0.6944444444444444,30.0
